FIRST_NAME,MIDDLE_NAME,LAST_NAME,CREDIT_SCORE,BIRTHDATE,ASSESSMENT_DATE
CLYDE,,SHERMAN,708,1983/11/22,2018/08/20
VICTOR,,YODER,531,1979/01/14,2019/03/19
ALBERTO,,CLEMENTS,479,1997/02/01,2018/02/12
SONIA,FINN,DURHAM,322,1988/11/19,2020/01/06
RONNIE,,SWEENEY,447,1940/01/08,2018/12/10
ROSALIND,,BIRD,649,1954/09/09,2018/03/09
ALLIE,,TODD,794,1970/09/23,2019/03/21
ELOISE,,HAYS,451,1989/02/17,2018/03/22
KARIN,,LYNN,323,1938/02/05,2019/12/16
TED,,MADDEN,827,1998/06/29,2020/12/17
GEORGETTE,BORIS,WEEKS,706,1965/08/24,2018/10/21
MARQUITA,,NOVAK,0,0001/01/01,2020/12/10
SABRINA,KIT,ROMAN,598,1948/03/14,2019/09/04
DAVID,,WOODARD,402,1948/04/03,2019/05/13
RHEA,H.,HOOVER,777,1975/02/07,2019/07/19
FREDERICK,,HOWE,316,1986/02/18,2020/01/03
DENNIS,,FLEMING,663,1989/06/04,2018/05/26
DIANN,A.,SOLOMON,387,1991/03/28,2019/04/15
RICK,,TUCKER,747,1978/01/10,2018/03/29
MARGERY,Z.,GRAHAM,350,1959/03/01,2018/09/01
GENEVIEVE,,DALTON,591,1997/02/15,2019/02/11
ROBERT,KIT,RICHARDS,384,1996/01/20,2019/06/30
ETTA,,BURNS,469,1954/01/06,2019/11/10
AMBER,ZANE,GRIFFIN,315,1949/07/02,2020/08/08
ELEANOR,,RICHARD,609,1985/07/11,2019/12/01
KIMBERLY,,WALLACE,0,0001/01/01,2020/05/30
THOMAS,,NUNEZ,526,1962/08/05,2018/11/19
TAMERA,,MACIAS,371,1955/12/20,2019/03/21
LUCIA,,FRAZIER,438,1983/04/17,2018/07/02
CHAD,,JOHNSTON,455,1988/03/23,2020/04/12
RONNIE,A.,FERNANDEZ,758,1960/07/17,2020/08/05
RONNIE,A.,FERNANDEZ,762,1960/07/17,2020/05/01
HILARY,H.,OROZCO,402,1984/08/03,2019/12/24
SHANNA,,TUCKER,727,1995/01/14,2018/02/11
YVETTE,WREN,FARLEY,456,1948/06/06,2018/04/13
HOLLY,,ROWE,612,1983/06/05,2018/07/11
NELL,,DIXON,797,1988/04/04,2020/07/13
MILLICENT,ZANE,MARTIN,747,1979/10/07,2019/04/27
MARGERY,Z.,GRAHAM,364,1959/03/01,2018/11/12
TANIA,,LUCERO,605,1990/02/18,2019/02/08
PRISCILLA,,PACE,0,0001/01/01,2020/08/02
CLAUDE,,GUERRERO,604,1993/06/02,2019/12/12
JOHNNY,,CAMPBELL,459,1977/11/13,2019/02/21
ANTHONY,,RAY,374,1943/12/31,2020/11/07
ROBIN,A.,WILSON,713,1970/08/08,2019/12/19
WILLIAM,,RYAN,0,0001/01/01,2019/05/26
GLORIA,PAX,GRAY,726,1984/03/04,2018/12/05
HOLLY,,ROWE,607,1983/06/05,2018/04/12
NANETTE,,WOODARD,391,1974/12/13,2019/08/08
FREDDIE,ZANE,DAWSON,0,0001/01/01,2018/12/10
ELEANOR,,RICHARD,598,1985/07/11,2019/08/23
JEANETTE,,GLASS,349,1975/05/13,2020/10/01
SHANNON,,HALEY,785,1949/04/15,2020/03/11
SASHA,,MULLINS,591,1980/10/23,2018/12/30
JOSEPHINE,KIT,GALLOWAY,843,1953/08/12,2019/01/06
SABRINA,KIT,ROMAN,597,1948/03/14,2019/11/12
MARSHALL,,TATE,485,1946/12/22,2018/12/16
THERESE,,BRYAN,566,1990/02/28,2019/08/28
WILLARD,,LEVY,471,1946/09/19,2018/05/04
JERRI,BORIS,MACIAS,837,1967/04/30,2020/11/18
ERIKA,,BLAKE,340,1995/12/17,2020/08/06
FREIDA,,SOLOMON,528,1944/11/18,2020/02/09
HERMAN,,LLOYD,714,1955/01/31,2020/02/13
GEORGETTE,,ROJAS,671,1989/12/28,2018/11/04
SELMA,,CLARKE,338,1961/04/22,2019/04/16
JANET,,THORNTON,493,1988/04/16,2019/05/31
KATHERINE,,BURNS,617,1941/06/07,2019/07/31
VIOLA,LUCKY,DICKSON,462,1971/06/26,2018/12/06
JUNE,,MAYS,361,1993/02/16,2020/08/14
CARISSA,,BENTLEY,668,1997/07/09,2018/07/08
